StockName,Country,Industry,Long,Short,LongAbs,ShortAbs,CountryCode
AMAT,USA,Technology,0,0,0,0,USA
NXPI,Netherlands,Technology,0.0328,,0.021844822,0,NLD
LRCX,USA,Technology,,-0.0072,0,0.014351206,USA
NTAP,USA,Technology,0.0092,,0.006127206,0,USA
TER,USA,Technology,,-0.0072,0,0.014351206,USA
AYI,USA,Technology,,-0.0072,0,0.014351206,USA
MKSI,USA,Technology,,-0.0072,0,0.014351206,USA
UBNT,USA,Technology,0.0501,,0.033366633,0,USA
NCR,USA,Technology,,-0.0072,0,0.014351206,USA
JCOM,USA,Technology,,-0.0072,0,0.014351206,USA
AEIS,USA,Technology,,-0.0072,0,0.014351206,USA
TSEM,Israel,Technology,,-0.0072,0,0.014351206,ISR
CIEN,USA,Technology,,-0.0072,0,0.014351206,USA
TTMI,USA,Technology,,-0.0072,0,0.014351206,USA
INVA,USA,Technology,,-0.0072,0,0.014351206,USA
UCTT,USA,Technology,0.0035,,0.002331002,0,USA
auto,USA,Services,,-0.0072,0,0.014351206,USA
TACT,USA,Technology,0.0159,,0.010589411,0,USA
VLO,USA,Basic Materials,,-0.0072,0,0.014351206,USA
EC,Colombia,Basic Materials,,-0.0072,0,0.014351206,COL
FCX,USA,Basic Materials,,-0.0072,0,0.014351206,USA
PAA,USA,Basic Materials,,-0.0072,0,0.014351206,USA
GG,Canada,Basic Materials,0.0621,,0.041358641,0,CAN
STLD,USA,Basic Materials,0.0207,,0.013786214,0,USA
MEOH,Canada,Basic Materials,,-0.0072,0,0.014351206,CAN
NFX,USA,Basic Materials,,-0.0072,0,0.014351206,USA
WOR,USA,Basic Materials,,-0.0072,0,0.014351206,USA
CPE,USA,Basic Materials,,-0.0016,0,0.003189157,USA
JAZZ,Ireland,Healthcare,,-0.0072,0,0.014351206,IRL
MGLN,USA,Healthcare,,-0.0072,0,0.014351206,USA
WBA,USA,Services,0.1286,,0.085647686,0,USA
DE,USA,Industrial goods,0.0547,,0.036430236,0,USA
AMP,USA,Financial,,-0.0072,0,0.014351206,USA
RYAAY,Ireland,Services,0.0844,,0.056210456,0,IRL
NUE,USA,Basic Materials,0.0232,,0.015451215,0,USA
IVZ,USA,Financial,,-0.0072,0,0.014351206,USA
HST,USA,Financial,0.0167,,0.011122211,0,USA
URI,USA,Services,,-0.0072,0,0.014351206,USA
RJF,USA,Financial,,-0.0072,0,0.014351206,USA
LKQ,USA,Consumer goods,,-0.0007,0,0.001395256,USA
AMG,USA,Financial,,-0.0072,0,0.014351206,USA
PHM,USA,Industrial goods,0.0031,,0.002064602,0,USA
BMA,Argentina,Financial,0.0755,,0.05028305,0,ARG
GGAL,Argentina,Financial,,-0.0072,0,0.014351206,ARG
PWR,USA,Industrial goods,0.0432,,0.028771229,0,USA
CPA,Panama ,Services,0.0504,,0.033566434,0,PAN
PNFP,USA,Financial,,-0.0072,0,0.014351206,USA
SLM,USA,Financial,,-0.0072,0,0.014351206,USA
BFR,Argentina,Financial,,-0.0072,0,0.014351206,ARG
TECD,USA,Services,0.0071,,0.004728605,0,USA
ADS,USA,Services,0.004,,0.002664003,0,USA
AGN,Ireland,Healthcare,0.0708,,0.047152847,0,IRL
ANDV,USA,Energy,,-0.0072,0,0.014351206,USA
ARE,USA,Financial,,-0.0072,0,0.014351206,USA
ESRX,USA,Healthcare,,-0.0072,0,0.014351206,USA
EV,USA,Financial,,-0.0072,0,0.014351206,USA
PGR,USA,Financial,0.1685,,0.112221112,0,USA
CMA,USA,Financial,0.0362,,0.024109224,0,USA
FIG,USA,Financial,,-0.0072,0,0.014351206,USA
RAD,USA,Services,,-0.0039,0,0.00777357,USA
PRAA,USA,Services,0.0068,,0.004528805,0,USA
KFRC,USA,Services,,-0.0072,0,0.014351206,USA
HZO,USA,Services,,-0.0072,0,0.014351206,USA
ZUMZ,USA,Services,0.005,,0.003330003,0,USA
BBSI,USA,Services,,-0.0046,0,0.009168826,USA
CNTY,USA,Services,,-0.0072,0,0.014351206,USA
TMHC,USA,Industrial goods,,-0.0072,0,0.014351206,USA
KBH,USA,Industrial goods,,-0.0072,0,0.014351206,USA
DOOR,USA,Industrial goods,0.0028,,0.001864802,0,USA
AIR,USA,Services,,-0.0072,0,0.014351206,USA
HOLI,China,Industrial goods,,-0.0072,0,0.014351206,USA
MHO,USA,Industrial goods,,-0.0072,0,0.014351206,USA
RYI,USA,Industrial goods,,-0.0072,0,0.014351206,USA
OI,USA,Consumer goods,,-0.0072,0,0.014351206,USA
MLHR,USA,Consumer goods,,-0.0072,0,0.014351206,USA
THRM,USA,Consumer goods,,-0.0072,0,0.014351206,USA
CAL,USA,Consumer goods,,-0.0072,0,0.014351206,USA
ESTC3.SA,Brazil,Services,,-0.0072,0,0.014351206,BRA
VEDL.NS,India,Basic Materials,,-0.0072,0,0.014351206,IND
GAIL.NS,India ,Utilities,,-0.0072,0,0.014351206,IND
YESBANK.NS,India,Financial,,-0.0072,0,0.014351206,IND
INDIGO.NS,India,Services,0.0449,,0.02990343,0,IND
UPL.NS,India,Basic Materials,,-0.0072,0,0.014351206,IND
PFC.NS,India,Financial,,-0.0072,0,0.014351206,IND
OIL.NS,India,Basic Materials,0.0908,,0.06047286,0,IND
CANBK.NS,India,Financial,,-0.0072,0,0.014351206,IND
CESC.NS,India ,Utilities,,-0.0072,0,0.014351206,NLD
CUB.NS,India,Financial,,-0.0072,0,0.014351206,IND
SRF.NS,India,Industrial goods,,-0.0072,0,0.014351206,IND
OCL.NS,India,Industrial goods,0.0324,,0.021578422,0,IND
KEC.NS,India ,Utilities,,-0.0072,0,0.014351206,NLD
SUNTECK.NS,India,Financial,,-0.004,0,0.007972892,IND
KPRMILL.NS,India,Consumer goods,0.0395,,0.026307026,0,IND
TECHNO.NS,India,Industrial goods,0.0223,,0.014851815,0,IND
NESCO.NS,India,Services,0.0246,,0.016383616,0,IND
FDC.NS,India,Healthcare,0.0152,,0.01012321,0,IND
JKTYRE.NS,India,Consumer goods,0.0033,,0.002197802,0,IND
PRAKASH.NS,India,Basic Materials,,-0.0072,0,0.014351206,IND
JKIL.NS,India,Industrial goods,,-0.0059,0,0.011760016,IND
RDSB.L,Netherlands,Basic Materials,,-0.0072,0,0.014351206,NLD
TSCO.L,UK,Services,0.0043,,0.002863803,0,GBR
BGSF,USA,Services,0.0048,,0.003196803,0,USA
CMG,USA,Services,0.0171,,0.011388611,0,USA
LAD,USA,Services,,-0.0072,0,0.014351206,USA
NXST,USA,Services,,-0.0072,0,0.014351206,USA
RICK,USA,Services,0.0655,,0.043623044,0,USA
BP.L,UK,Basic Materials,0.0927,,0.061738262,0,GBR
ITV.L,UK,Services,0.0046,,0.003063603,0,GBR
BPE5.F,UK,Energy,,-0.0072,0,0.014351206,GBR
VOW3.F,Germany,Industrial goods,,-0.0072,0,0.014351206,DEU
HEI.F,Germany,Industrial goods,0.008,,0.005328005,0,DEU
HRS,USA,Technology,0.0446,,0.02970363,0,USA
SZU.DE,Germany,Consumer goods,0.0116,,0.007725608,0,DEU
LEO.DE,Germany,Consumer goods,,-0.0072,0,0.014351206,DEU
SZG.F,Germany,Industrial goods,,-0.0058,0,0.011560694,DEU